customer_ID,Age,Phone,Customer_Type,Customer_Class
23000943,27.0,25079047912.0,Individual,
23001436,61.0,19823673770.0,Individual,6.0
23002492,36.0,12490875908.0,Individual,11.0
23002523,70.0,31030445631.0,Individual,
23004010,59.0,64204046784.0,,8.0
23004998,55.0,24750234083.0,Individual,8.0
23006262,48.0,38454197214.0,Individual,9.0
23006845,57.0,43220459421.0,,2.0
23007509,21.0,36796984407.0,Individual,1.0
23007524,,15454605082.0,Individual,9.0
23009191,54.0,39602428728.0,Individual,3.0
23011391,,,Company,8.0
23016715,53.0,34594990092.0,Individual,6.0
23018171,63.0,12880196610.0,,3.0
23019076,21.0,59475195596.0,Company,9.0
23020853,76.0,33031388281.0,Individual,10.0
23021819,69.0,50337442537.0,,11.0
23023821,60.0,23225700992.0,Individual,7.0
23024127,61.0,69640740941.0,Individual,11.0
23025179,74.0,,Individual,8.0
23025809,67.0,54906247443.0,Individual,6.0
23027320,85.0,62331104923.0,Individual,2.0
23028719,61.0,51330422384.0,Individual,
23030159,,37973726074.0,Individual,5.0
23030447,32.0,,Individual,
23030758,48.0,,Individual,3.0
23033269,45.0,39199585349.0,Individual,
23034645,73.0,37609047102.0,Individual,7.0
23035220,,63208159810.0,Individual,2.0
23035427,53.0,,,4.0
23036316,28.0,17885921304.0,Individual,10.0
23036374,88.0,53326353117.0,Individual,7.0
23037792,,,Individual,
23038861,65.0,,Individual,9.0
23040358,42.0,20874602285.0,Individual,4.0
23041276,34.0,62939653319.0,Individual,2.0
23044764,,,Individual,9.0
23047093,70.0,36751176554.0,Individual,4.0
23048512,74.0,28958722608.0,Individual,8.0
23049522,70.0,33853409879.0,Individual,11.0
23050245,29.0,15720111426.0,Individual,6.0
23050518,,,Individual,5.0
23051170,,59288439960.0,Individual,7.0
23052026,,,Individual,5.0
23053991,27.0,,Company,4.0
23054621,46.0,38611058483.0,Individual,6.0
23055282,49.0,20349483165.0,Individual,8.0
23055553,,65391541548.0,Individual,3.0
23057476,77.0,56233657212.0,Individual,9.0
23060539,37.0,30893356351.0,Individual,6.0
23061804,30.0,60690999086.0,Individual,8.0
23061809,63.0,44652431627.0,Individual,
23063541,82.0,36165098335.0,Individual,10.0
23064303,,21052662057.0,,1.0
23064309,39.0,33144356554.0,Individual,3.0
23064312,26.0,57548821585.0,Individual,9.0
23071895,25.0,37643987769.0,,6.0
23073424,,39172059019.0,Individual,2.0
23073755,,66758042992.0,Individual,7.0
23074509,60.0,68937880013.0,,9.0
23074684,60.0,50066450439.0,Individual,2.0
23075678,44.0,,Individual,4.0
23077113,72.0,38500986024.0,Individual,8.0
23079696,42.0,20881115658.0,,1.0
23081063,61.0,48976135082.0,Individual,3.0
23083134,26.0,47211515805.0,Individual,1.0
23085722,71.0,53570636106.0,Company,
23086305,59.0,,Individual,5.0
23090618,44.0,31436085732.0,Individual,11.0
23091435,51.0,,Individual,6.0
23092598,,16259483093.0,Individual,7.0
23094015,38.0,58545217817.0,Individual,8.0
23095113,,46763701217.0,Individual,
23096081,64.0,,Individual,8.0
23096620,42.0,51754343307.0,Individual,
23097136,51.0,10103414767.0,Individual,5.0
